tweet_id,created_at,text,in_response_to_tweet_id
9550,Wed Nov 01 05:47:12 +0000 2017,"@sprintcare I will have no choice on principal to make good on my commit to seek 3rd party assistance via the FCC, FTC, SAG MO&amp;IL and public sentiment.",9548
9551,Wed Nov 01 05:45:21 +0000 2017,"@sprintcare Again, no follow through.  Pattern, not ok.  Radio silence from me for now.  I hope my wife receives a call by 5p EST tomorrow else...(1/2)",9548
9552,Tue Oct 31 23:46:19 +0000 2017,"@sprintcare Still nothing 2 hours later, our definitions of ""momentarily"" are not aligned.  Ashley @ 312.890.7112 - please contact. FYI@Koster4Missouri",9553
9554,Tue Oct 31 21:06:53 +0000 2017,@sprintcare @67723,9555
10340,Wed Nov 01 00:25:17 +0000 2017,@sprintcare Did you find my phone that I returned to brooklawn nj store that was stolen by an employee  and credit account?,10339
10343,Wed Nov 01 00:34:18 +0000 2017,"@sprintcare Ok thank you, will talk then",10342
10345,Wed Nov 01 01:20:05 +0000 2017,"@sprintcare No that’s it, I hope this situation gets resolved quickly",10344
10351,Wed Nov 01 01:59:44 +0000 2017,"@sprintcare @117879 I didn’t get this deal either...I got $41 a month, if they’re offering it for $22 a month now that’s crazy I want in on it!",10350
10401,Wed Nov 01 01:32:41 +0000 2017,@sprintcare I sent a private/secure message.....I haven't heard back.  I am having a hard time understanding commitments to customers.  It's not OK!,10400
10878,Wed Nov 01 00:41:46 +0000 2017,@sprintcare :-) So excited!,10877
11318,Wed Nov 01 00:57:56 +0000 2017,@sprintcare I knew you would ge back to me via social media. You all have a refund you owe me &amp; ive been trying to solve my account issue w/ you all,11319
12267,Wed Nov 01 01:34:35 +0000 2017,"@sprintcare You're the worst, period.",12266
12271,Wed Nov 01 02:11:37 +0000 2017,"@sprintcare Im sorry, but it has been 40 days, and the service in Puerto Rico is worst thsn ever. I can't even communicate with my family well.",12270
12268,Wed Nov 01 01:34:11 +0000 2017,@sprintcare Because there's never any LTE!,12266
12796,Wed Nov 01 01:41:24 +0000 2017,"@sprintcare I had the phone replaced last Tuesday. So, a week.",12795
12797,Wed Nov 01 01:44:26 +0000 2017,@sprintcare This forum post suggests that I may need my text messaging service reprovisioned https://t.co/PoNQ4XFcnu,12795
13433,Wed Nov 01 01:51:13 +0000 2017,@sprintcare @115714 Don’t lie for Twitter,13432
13434,Wed Nov 01 01:50:50 +0000 2017,@sprintcare @115714 Bitch u a liar,13432
14515,Wed Nov 01 02:44:25 +0000 2017,@sprintcare The only thing that would help would be to re-do this horrible user interface. Happy to talk to your UI folks if that would help.,14514
14527,Wed Nov 01 15:37:59 +0000 2017,"@sprintcare And suddenly they were very respectful to him, after being condescending to me.",14526
14528,Wed Nov 01 15:34:29 +0000 2017,@sprintcare At T-Mobile when I had this kind of issue they ordered me a new phone and I just had to send my current phone in,14526
14529,Wed Nov 01 15:33:40 +0000 2017,@sprintcare All out of whack and isn’t charging correctly. I just want to switch it out for the same exact phone without paying $300,14526
14530,Wed Nov 01 15:39:34 +0000 2017,@sprintcare @115714 I don’t have insurance on it. I was told I didn’t need it by the Sales guys in a Utah store.,14526
14531,Wed Nov 01 15:33:01 +0000 2017,@sprintcare Replace my phone! I have an 8 month old iPhone 7 with no cracks or scratches or anything and it hasn’t been working properly. Touchscreen is,14526
14532,Wed Nov 01 15:37:03 +0000 2017,"@sprintcare The customer service hasn’t been great at the store I have visited in Utah. I was lied to, and made to feel dumb until my husband stepped in",14526
15994,Wed Nov 01 03:34:17 +0000 2017,@sprintcare ????? https://t.co/1ipFZBAKom,15993
15995,Wed Nov 01 03:08:09 +0000 2017,@sprintcare Then that’s giving false info because my email said 10/30 never got an update and then ups is saying 11/3 and now your saying 11/21 🤦🏾‍♂️,15997
17564,Wed Nov 01 04:49:07 +0000 2017,"@sprintcare Thank you. So, I can switch when my iPhone X gets here this Friday? I’ll def will do that for sure.",17563
17565,Wed Nov 01 04:29:38 +0000 2017,@sprintcare My phone is thru att. But I would like to switch with you guys once it gets here. Will my phone works for sprint ?,17566
17803,Wed Nov 01 04:58:13 +0000 2017,@sprintcare Check your DMs.. thanks,17802
17806,Wed Nov 01 04:38:44 +0000 2017,@sprintcare Thank you!,17807
19829,Wed Nov 01 06:39:03 +0000 2017,@sprintcare And I got the shipped email 2 days ago,19830
19831,Wed Nov 01 06:38:31 +0000 2017,@sprintcare It doesn’t show any updates I ordered in store and received an email stating that its on its way when I check tracking it says label created,19830
20855,Wed Nov 01 07:37:15 +0000 2017,"@sprintcare Also, that store is playing load music that makes it hard to hear. It’s a store not a dance club.",20854
20856,Wed Nov 01 07:33:52 +0000 2017,@sprintcare Been trying to activate my unlocked iPhone. Store told me I could do it online. You can’t. Don’t want to pay BS activation fee,20854
25117,Wed Nov 01 18:45:12 +0000 2017,@sprintcare Ok can y’all dm me or something,25116
25596,Sun Nov 05 18:07:01 +0000 2017,@sprintcare No it still has not been resolved they keep telling me that they will give me a call when my iPhone X will arrive,25597
25602,Sun Nov 05 18:11:34 +0000 2017,"@sprintcare I damaged a phone and need a replacement, the staff member was zero help and was completely rude in helping. I am very upset about this, I have been a sprint customer for 16 years. Is there a way to make an official complaint?",25601
25607,Sun Nov 05 19:13:14 +0000 2017,@sprintcare Had to go to chat to get directions on how to get an operater because you don't give that option. 5555. Then another hour plus+,25606
25608,Sun Nov 05 19:12:06 +0000 2017,@sprintcare @115714 Change your processes to be more customer focused. I'll be researching other providers. I'll payout 2 be done w sprint.,25606
25609,Sun Nov 05 19:16:11 +0000 2017,@sprintcare Denied me access to mgr or supervisor. Still 72 hours to get cancelled? You are unethically making it impossible to cancel services.,25606
25610,Sun Nov 05 19:15:04 +0000 2017,@sprintcare Hung up on while cancelling 2 lines. I asked for no sales pitch but still tried to con me N2 crap and finding different reasons 2 charge me,25606
25616,Sun Nov 05 18:02:02 +0000 2017,@sprintcare Ok I tried calling sprint business sales and the line just goes died,25615
26040,Wed Nov 01 19:21:29 +0000 2017,"@sprintcare I sorted it out, maybe don't redirect calls to an automated system without any human operators, just a suggestion",26039
26448,Thu Nov 02 18:43:24 +0000 2017,@sprintcare Ion got sprint 🤪🙅🏾‍♀️ #TeamVERIZON,26447
26451,Thu Nov 02 17:59:44 +0000 2017,"@sprintcare Unless you drastically improve your service &amp; coverage then I feel like you will continue to lose customers IMO. Personally, I would",26450
26454,Thu Nov 02 17:48:43 +0000 2017,@sprintcare No I’m not changing my mind. I’m off ya’ll,26455
26458,Thu Nov 02 18:12:10 +0000 2017,"@sprintcare @121773 One thing yall can do it outpay  Verizon for the rights to play free NFL games. I’d be thankful

Love,
A sprint customer w/ terrible service",26457
26461,Thu Nov 02 18:18:03 +0000 2017,@sprintcare Get the rights to play nfl games on our phone instead of Verizon. That way I can watch the @121775 while I’m at drill for the national guard,26460
26541,Tue Nov 07 17:19:36 +0000 2017,@sprintcare I like the sound of that. I’ll call after work today,26540
26565,Tue Nov 07 17:12:18 +0000 2017,@sprintcare Been trying to get help with things from support and they rather take 5 minutes to answer or been on holdnwaiting to connext for a long time,26567
28008,Wed Nov 01 10:40:41 +0000 2017,@sprintcare Ordering the free phone from sprint,28010
28011,Wed Nov 01 10:48:24 +0000 2017,@sprintcare The cell that can be order from homepage.i hate order one be big charge for it.,28010
28013,Wed Nov 01 10:53:41 +0000 2017,@sprintcare Yes,28012
28015,Tue Nov 07 02:20:34 +0000 2017,@sprintcare I need a new cell that will be low cost and has no adviser message on it,28014
28551,Wed Nov 01 11:19:41 +0000 2017,@sprintcare They said someone would call Mon. Nothing. I don't have any time for this. @115714,28550
28552,Wed Nov 01 11:19:18 +0000 2017,"@sprintcare I have already done this. Time ran out, so I had to call AGAIN abt the tablet that costs more than disclosed. @115714 #fedup",28550
28553,Fri Nov 03 21:58:49 +0000 2017,"@sprintcare Just sent another message. The 1st cust svc rep understood the situation, said I would be refunded &amp; could return tab. @115714",28550
28554,Wed Nov 01 11:21:39 +0000 2017,@sprintcare Just refund for all paid &amp; tell me how to return. 1st conversation w/ u promised ttl refund w/o penalty. Downhill ever since @115714 #fedup,28550
28558,Fri Nov 03 21:55:48 +0000 2017,"@sprintcare I already sent a DM, you sent me to an online chat. That went on too long, had to leave. then had to call again. REALLY?!! @115714 #WTF",28557
30046,Wed Nov 22 17:24:20 +0000 2017,"@sprintcare It happens on every single wifi. I am a Sytems Administrator, IT professional, and I am certain that all these WiFi’s cant be misconfigured. I have tried imessage off, on, mms off and on, even reset network settings and updated carrier settings.",30045
30049,Wed Nov 22 17:36:15 +0000 2017,"@sprintcare I have not yet. I am beginning a dialogue with Apple Support now, if that does not help I will try to reset the phone. If after that and still no progress, what options are available for me. I have already replaced the phone once before for hanging up and random shutdowns.",30048
30056,Wed Nov 22 17:22:12 +0000 2017,@sprintcare ...the northeast United States of America.,30055
30057,Wed Nov 22 17:16:34 +0000 2017,"@sprintcare You also don't have very good coverage in: Colorado, Utah, California, Georgia, Tennessee, North Carolina....",30059
30159,Wed Nov 01 11:46:34 +0000 2017,@sprintcare I live in Chicago and routinely travel between Chicago and North West Indiana these issues are every place Ive missed many texts,30158
30162,Wed Nov 01 11:59:14 +0000 2017,@sprintcare  I have a Galaxy S8 plus,30161
30165,Wed Nov 01 11:38:27 +0000 2017,@sprintcare I’ve been having issues with my service for ages. It’s hilarious that I get better indoor service from a Canadian tower.,30164
30668,Wed Nov 01 11:46:26 +0000 2017,@sprintcare Ya I am if u can get the $22 a month deal for the iPhone X,30669
30672,Wed Nov 01 12:01:24 +0000 2017,@sprintcare Upgrade service on the northeast corridor between Hamilton NJ and Penn Station NYC. Way too inconsistent,30671
30675,Wed Nov 01 12:08:56 +0000 2017,@sprintcare No DM needed. Upgrade the system and add towers. Im not the only one who has issues on that corridor.,30674
31005,Wed Nov 01 12:15:56 +0000 2017,@sprintcare @115714 Ok,31004
31009,Wed Nov 01 12:07:26 +0000 2017,@sprintcare Just did...thanks.,31008
31012,Wed Nov 01 12:13:20 +0000 2017,@sprintcare Just sent you one,31011
31635,Wed Nov 01 01:52:36 +0000 2017,"@sprintcare Will do in a day or two, however seeing how long I've been a cust. the new cust. rate is the answer.
Not happy for long time.",13438
31638,Tue Oct 31 08:17:02 +0000 2017,@sprintcare Bull I just did your not even a real person this sucks you guys are loosing customers by your cheap service,31642
31643,Tue Oct 31 08:12:47 +0000 2017,@sprintcare I get no service anywhere sprint needs more towers. Sprint only works with WiFi kinda cheap service,31644
31647,Wed Nov 01 07:23:35 +0000 2017,@sprintcare @116447 This never happened. Thanks again for more lies. Just like the ones that started under #DanHesse in 2010 about a better Network,31648
31649,Tue Oct 31 05:21:15 +0000 2017,"@sprintcare @116447 450 Route 211 E, Middletown, NY 10940",31650
32870,Wed Nov 22 18:24:33 +0000 2017,@sprintcare Both customers (my wife and I) both completed the online forms for change of ownership.  So we still need to call to finalize it?,32869
33457,Wed Nov 01 14:25:31 +0000 2017,@sprintcare I’ve told you like a million times!!!!,33456
33458,Wed Nov 01 14:34:37 +0000 2017,"@sprintcare I turned in 2 iPhone 6 when I switched, you were supposed to pay, you didn’t, and you won’t.",33456
37004,Wed Nov 22 19:00:13 +0000 2017,@sprintcare I did. But if your chat can't help me to be one a customer I have little to NO faith of ever getting help when I become a customer.,37005
37835,Wed Nov 01 17:02:43 +0000 2017,@sprintcare 704-277-3102. I was a NEW customer for exactly 7 days. Returned the NEW phone device back to the store. Emply never returned the phone back.,37834
37842,Wed Nov 01 14:37:58 +0000 2017,@sprintcare charger the orange light comes on and the charging level stays on 32%,37841
37844,Wed Nov 01 14:22:13 +0000 2017,@sprintcare Will do.,37843
37847,Tue Oct 31 10:44:12 +0000 2017,@sprintcare yes I am. From the day I switched my services it’s been horrible. I can hardly use my (cont) https://t.co/IUKtrghW3J,37850
38409,Wed Nov 01 20:07:35 +0000 2017,@sprintcare Your customer service is ridiculous &amp; your financial dept. is as well,38408
38412,Wed Nov 01 20:20:39 +0000 2017,@sprintcare I am on the phone with your company now &amp; will probably be switching back to Verizon,38411
39061,Wed Nov 01 14:25:21 +0000 2017,@sprintcare @124540 Why does the status page at https://t.co/IOfc8ymDfj say it ships by 11/3 if ordered before 5pm on 10/27?,39063
15998,Wed Nov 01 03:32:55 +0000 2017,@sprintcare @119504 @sprintcare I got an email saying my order shipped with a tracking number! So you’re saying y’all lied and I’m not getting my phone Friday?!,15997
39065,Wed Nov 01 15:04:10 +0000 2017,@sprintcare Thank you for the reply. I hope that’s true.,39062
39067,Wed Nov 01 14:52:17 +0000 2017,"@sprintcare I did not. However, you guys are supposed to give me a call at 4  thanks 🙂",39068
39077,Wed Nov 01 14:50:31 +0000 2017,@sprintcare Well I am currently w a different cell phone provider looking to see what sprint has to offer since I'm having so much trouble w curnt provd,39076
39967,Wed Nov 01 15:16:45 +0000 2017,@sprintcare ha ha ha ha ha! I've been on the phone over 2 hours and have been hung up on twice. I doubt you can help.,39966
41018,Wed Nov 01 15:17:26 +0000 2017,@sprintcare ☹️☹️☹️ I want it sooner than the 3rd week I’m gonna cry.,41017
41910,Wed Nov 01 15:41:06 +0000 2017,@sprintcare It’s been in contract for a mouth now,41909
41911,Wed Nov 01 15:38:13 +0000 2017,@sprintcare But can I give the phone back and just get the 8plus,41909
42850,Wed Nov 01 15:51:29 +0000 2017,@sprintcare thanks ☺️,42851
43475,Wed Nov 22 21:04:31 +0000 2017,@sprintcare Thank you! I will definitely look into this.,43474
43492,Wed Nov 22 20:26:32 +0000 2017,@sprintcare Unless you guys increase coverage in SC I am not sure what you can do. But just know I’ve stuck with @115714 for a reason. Keep up the good fight and thanks for reaching out.,43493
43925,Wed Nov 01 16:19:24 +0000 2017,@sprintcare Get some better customer service who doesn’t lie to you every month and replace the whole Manitowoc Wisconsin staff,43924
43928,Wed Nov 01 16:43:31 +0000 2017,@sprintcare Apparently we’re pass due and getting our service shut off when we have every single receipt. Your store ppl lied just for a sale,43927
44665,Sun Nov 26 00:50:06 +0000 2017,@sprintcare I did and called,44664
44722,Sun Nov 26 18:28:35 +0000 2017,@sprintcare Sent you all the details in a DM. Please help!,44721
44725,Sun Nov 26 18:56:25 +0000 2017,@sprintcare I already sent you a detailed Direct Message.,44724
44727,Sun Nov 26 20:54:43 +0000 2017,@sprintcare Thru Twitter,44726
44730,Sun Nov 26 01:35:52 +0000 2017,@sprintcare Hope I️ sent the private message to the correct location 😌 I️ did reply in detail,44729
44731,Sun Nov 26 01:34:03 +0000 2017,@sprintcare Sprint is a good company; I️ can’t say the same about Samsung 😌 all the best !,44729
44824,Sun Nov 26 13:46:29 +0000 2017,"@sprintcare If I gave my account #, you can put on system the offers?",44823
44827,Sun Nov 26 16:06:42 +0000 2017,@sprintcare In stores check the offers for me; Im already write the only one they can offer to me.,44826
44825,Sat Nov 25 23:55:21 +0000 2017,"@sprintcare We have talked once, I'm only want an equal treatment in offers so I can stay. Now in PR Tmobile have better coverage and offers me 2 Notes 8 (pay one, one free). Better offer for me and my family plan. I will call for customer service to seek another offer or a change of co.",44828
44829,Sat Nov 25 23:19:28 +0000 2017,"@sprintcare I'm already have 2 lines. Both without contract because expires in september.
I ask, and the said that new ones get $350 discount plus 18 months @ $20. For me just a $200 discount and have to pay $29 for 18 monts and $40 for another six months. Really?",44830
45196,Wed Nov 01 16:31:07 +0000 2017,"@sprintcare Yep. And they even offered me a whole $25 for my time, lol",45195
46004,Wed Nov 01 16:45:54 +0000 2017,"@sprintcare Yall hire idiots who don't know how to add, and everytime you call they give different prices, that should be illegal or some shit",46003
46007,Wed Nov 01 16:43:31 +0000 2017,@sprintcare 62nd and maple street Omaha be,46006
46010,Wed Nov 01 18:49:35 +0000 2017,@sprintcare I'm traveling at the moment. I will reach out on Friday to correct this.,46009
46016,Wed Nov 01 16:37:14 +0000 2017,@sprintcare I messaged you!,46015
46025,Wed Nov 01 16:49:44 +0000 2017,@sprintcare @116447 My letter is too long for Twitter. I need the correct address for @sprintcare,46024
46028,Wed Nov 01 18:14:25 +0000 2017,@sprintcare @116447 Email: __email__,46027
46029,Wed Nov 01 18:07:09 +0000 2017,@sprintcare @116447 I have been a LOYAL Sprint customer for over 12 years!!! VERY frustrated‼️‼️‼️‼️,46027
46030,Wed Nov 01 17:58:28 +0000 2017,@sprintcare @116447 The rep this morning did not seem to know his way around your environment. It was 30 minutes before he seemed able to understand my request to get a supervisor. 30 minutes of my time while I’m at work!!!,46027
46031,Wed Nov 01 17:51:54 +0000 2017,@sprintcare @116447 Each time I contact your company it takes at least 40 minutes before I can explain my issue. Then there’s the language barrier. It is very hard to understand some of your reps. As it is hard for some of them to understand me.,46027
46032,Wed Nov 01 17:55:57 +0000 2017,@sprintcare @116447 I should be able to complete a simple transaction online. Another issue is that online says one thing &amp; sales says another. My account is eligible for an upgrade &amp; I need to add a line which the online portal says I am eligible to do,46027
46033,Wed Nov 01 18:05:55 +0000 2017,@sprintcare @116447 Which would have taken another 20 minutes of my time. Each time I call you guys it takes an average of 40-60 minutes to get a positive result!!! This is unacceptable for a organization as large as yours!!,46027
46034,Wed Nov 01 18:03:08 +0000 2017,"@sprintcare @116447 Then at the end of my call this morning my due today total jumped from $10.80 to $41!!! How is this even possible?? And of course the agent wanted to send me to customer care where I would have had to repeat my request all over again,",46027
46035,Wed Nov 01 18:00:38 +0000 2017,@sprintcare @116447 These are minor issues that should be able to be taken care of online!! There should not be ANY difference or discrepancy between the real world &amp; online environments!!,46027
48741,Wed Nov 01 17:20:59 +0000 2017,@sprintcare Thank you!,48740
48756,Wed Nov 01 19:03:29 +0000 2017,@sprintcare No I do  not see any emails about that.,48755
49383,Wed Nov 01 17:21:46 +0000 2017,@sprintcare no youre not worth shit. its easier for me to deal with my shitty phone service than to talk to you brain dead representatives. thanks.,49382
49386,Wed Nov 01 18:20:25 +0000 2017,@sprintcare what issue am i not currently having is a better question.,49385
49388,Fri Nov 03 12:22:08 +0000 2017,@sprintcare @127047 Your service is trash. I never have any service.🙄🙄🙄,49387
49392,Thu Nov 02 10:35:42 +0000 2017,@sprintcare Thanx! I heard that it wouldn't be activated if it wasn't bought directly from you folks...nice to know!,49391
50304,Sat Nov 04 06:14:16 +0000 2017,@sprintcare I'm in Hong Kong now and it didn't ask me to purchase data. It sent a text saying it's 3-cents/MB please advise,50303
50308,Sun Nov 05 02:42:55 +0000 2017,@sprintcare I just got on global roaming and it never asked me to upgrade to high speed. How do I force it manually? In Bangkok already,50306
50305,Wed Nov 01 17:31:32 +0000 2017,@sprintcare I arrive Saturday. I'll await the message on my phone then. Thanks for clarifying!,50310
52485,Wed Nov 01 18:57:40 +0000 2017,@sprintcare @115725 @116447 I've checked. All I want is what's fair. I called to ask how much were owed on the phones and was told $175 a piece so that's what I paid.,52484
53705,Wed Nov 22 23:25:38 +0000 2017,@sprintcare Yeah everywhere,53706
53707,Wed Nov 22 17:52:04 +0000 2017,"@sprintcare It’s just ass , doesn’t work anywhere",53708
53899,Wed Nov 01 18:43:53 +0000 2017,"@sprintcare I appreciate your concern! But too slow, frozen service :( not liking ""1X"" service",53900
54616,Wed Nov 01 19:16:57 +0000 2017,@sprintcare Which means my phone won’t get here on time so now I have to go to a store and wait in line just to see if they MIGHT have it...,54615
54617,Wed Nov 01 19:16:10 +0000 2017,@sprintcare I’ve tried everything called several departments and no one was able to help me they just tell me to replace the order .,54615
54620,Wed Nov 01 19:19:29 +0000 2017,@sprintcare Yes cause I'm sure you will get right on fixing it just like last time I sent you all a tweet about the exact same thing a few months ago...,54619
54632,Wed Nov 01 19:17:57 +0000 2017,"@sprintcare I'd be happy to, but don't you have to follow me before I can do so?",54631
54635,Wed Nov 01 19:25:51 +0000 2017,@sprintcare I'm already following you. I did that this morning.,54634
55187,Thu Nov 30 03:23:19 +0000 2017,"@sprintcare I had specific information about my account but was blocked online. It said, go to a Sprint store for assistance but they did not know what to do. It was not long lines. It was inability to trouble shoot and be truly of service to a customer who has been one since 2006.",55186
55435,Thu Nov 02 21:01:23 +0000 2017,@sprintcare how...lol..are u serious I been on hold for 3 days ..an still no help ...got a new (cont) https://t.co/5AIDfUek6o,55434
56431,Wed Nov 01 19:18:54 +0000 2017,"@sprintcare How about the Great Bend, KS area? Had to switch in 2010 because it fell a few miles outside of the network. HAD to go back to VZW :(",56435
56437,Thu Nov 02 03:11:55 +0000 2017,@sprintcare @115714 @sprintcare @115714 any update?,47019
56438,Wed Nov 01 21:58:24 +0000 2017,"@sprintcare If we could have service in Barton Co., I’m sure we’d be back ASAP. Just sucks that wife and I just upgraded phones 2 months ago.",56432
57249,Wed Nov 01 19:47:44 +0000 2017,@sprintcare Thanks!,57250
57252,Wed Nov 01 19:47:47 +0000 2017,@sprintcare Customer support is taking care of me now. Thanks for your promptness.,57253
57763,Wed Nov 01 20:13:36 +0000 2017,"@sprintcare 60020 but it has happened in 60640, 60637, and 32250. I've been on with chat support for over an hour.",57762
57764,Wed Nov 01 20:14:35 +0000 2017,@sprintcare it's been happening for almost a month. This is beyond unacceptable. They can't even tell me how many messages have been lost.,57762
57765,Wed Nov 01 20:38:06 +0000 2017,"@sprintcare supervisor just told me he can't process my credit for lost busness bc he had a guy tell him he lost a $300,000 real estate deal #nothelping",57762
57771,Wed Nov 01 20:05:07 +0000 2017,"@sprintcare My phone has been saying ""Searching"" forever now and I didn't absolutely nothing to it. Now all of a sudden I have to pay $200 to get a new",57772
57775,Wed Nov 01 20:03:57 +0000 2017,"@sprintcare Kate just abruptly hung up on me in customer service department . &amp;&amp; no dm, I want the world to know how terrible y'all are.",57774
58377,Thu Nov 02 18:34:53 +0000 2017,@sprintcare Hows that going to help?  They will just tell me that SPRINT cancelled more order after they confirmed it!  TERRIBLE SERVICE,58376
58381,Wed Nov 01 20:35:11 +0000 2017,@sprintcare what do you need? I have my receipt,58380
58384,Wed Nov 01 20:42:40 +0000 2017,@sprintcare YES. 404 4211 s. cooper street arlington texas ste 111,58383
58385,Wed Nov 01 20:42:59 +0000 2017,@sprintcare customer number 189589194,58383
58388,Wed Nov 01 21:07:43 +0000 2017,@sprintcare I sent a direct message,58386
58390,Thu Nov 02 16:09:37 +0000 2017,@sprintcare I still need help!,58389
58394,Fri Nov 03 01:09:43 +0000 2017,@sprintcare Can someone call me,58392
58393,Thu Nov 02 22:57:58 +0000 2017,@sprintcare Yes!!!!!,58391
58402,Wed Nov 01 20:47:15 +0000 2017,@sprintcare Idk maybe since last week,58401
58405,Wed Nov 01 21:22:01 +0000 2017,@sprintcare Like when I fall asleep on the phone with my boyfriend it hangs up and I have to call him back,58404
58407,Wed Nov 01 21:56:48 +0000 2017,@sprintcare He’s the only one I face time..could be my connection,58406
59135,Thu Nov 02 01:56:17 +0000 2017,@sprintcare @129471 Service is garbage in South Florida. Literally use WiFi everywhere.,59134
59139,Thu Nov 02 02:49:28 +0000 2017,@sprintcare Voice sounds like robots 30% of time and have to hang up and redial. LTE transfers no data even if a few bars are shown. Bill problems,59137
53901,Wed Nov 01 20:33:10 +0000 2017,@sprintcare @128202 Fuck you Sprint.,53900
59822,Thu Nov 02 13:29:45 +0000 2017,@sprintcare Will you help cancel my @115911 bill? I have two lines (phone &amp; apple watch),59821
59825,Thu Nov 02 17:21:03 +0000 2017,@sprintcare Ok will do thanks again for looking into assisting with my switch from @115911,59824
59826,Tue Nov 07 20:43:58 +0000 2017,@sprintcare I DM but never heard anything back,59824
