tweet_id,customer_message,predicted_intent,similar_customer_message,historical_reply,retrieval_similarity,draft_reply,decision,escalation_reason,reply_score,max_score,reply_quality,quality_reason
2191103,@sprintcare They’ve done that before,OTHER,@sprintcare I've already done that...to no avail.,"@134926 We're constantly working to enhance our service. Please send us a Direct Message, so that we can further assist you. -PC",0.642,"@134926 We're constantly working to enhance our service. Please send us a Direct Message, so that we can further assist you. -PC",ESCALATE,Intent could not be confidently classified,2,4,ACCEPTABLE,Does not request clarification
169025,@sprintcare Changed my password. Login with new password. Account locked. Ghey.,ACCOUNT_OR_SECURITY,@sprintcare I changed my password last month and saved it in my keychain and it still won’t let me login. And I changed it because of this same issue,@297407 Hey! What's going on? Please let us know to assist. - EG,0.5659,@297407 Hey! What's going on? Please let us know to assist. - EG,ESCALATE,Account or security issue requires human review,2,4,ACCEPTABLE,No clear next step; Missing security guidance
903956,@sprintcare Not any more I learned my lesson,OTHER,@sprintcare @116447 I believe the @sprintcare bot has learned to relish my dissatisfaction over time.,@319952 We are sorry to hear this. Please let us know how we can help! Team @116447,0.31,@319952 We are sorry to hear this. Please let us know how we can help! Team @116447 Please verify the specific account details before sending.,ESCALATE,Intent could not be confidently classified,3,4,GOOD,Meets basic support-reply criteria
1165143,@sprintcare  https://t.co/dXaeE4ZS1v,OTHER,@sprintcare  https://t.co/fr3Sha4j1t,@205104 Can you show me the promo offer you got for this device? -SW,1.0,@205104 Can you show me the promo offer you got for this device? -SW,ESCALATE,Intent could not be confidently classified,1,4,WEAK,Weak acknowledgement/help; Does not request clarification
1814734,@sprintcare I probably just need a new phone,DEVICE_OR_UPGRADE,"@sprintcare I would, but I probably don’t have reception",@516182 This isn't something we like to hear. Please send us a DM and allow me the opportunity to change your outlook on us. -CW,0.4811,@516182 This isn't something we like to hear. Please send us a DM and allow me the opportunity to change your outlook on us. -CW Please verify the specific account details before sending.,AUTO_HANDLE,Routine support request with recognizable intent,3,4,GOOD,Meets basic support-reply criteria
25616,@sprintcare Ok I tried calling sprint business sales and the line just goes died,CALLING_ISSUE,@sprintcare OK.,@572605 I would like to apologize for your IPhone X experience. I will contact you to discuss your IPhone X concerns  and a resolution. https://t.co/rMApsV8PQY,0.2875,Thanks for reaching out. We'd like to understand the issue better and help with the next steps. Please send us a DM with the relevant details so our support team can assist.,AUTO_HANDLE,Routine support request with recognizable intent,3,4,GOOD,Meets basic support-reply criteria
2282723,@sprintcare Yep I'm a customer. We've been together for over 13 years and since I'm seasoned it only fair to help others not fall into dysfunctional relationships @115714. 🤔😟😣,CUSTOMER_SERVICE,@sprintcare @494074 13 years jod customer and this down payment bs,@494074 We have great deals with for the iPhone X! Please click on this link to check 'em out here https://t.co/nUZ2kUiomr . - LP,0.4707,@494074 We have great deals with for the iPhone X! Please click on this link to check 'em out here https://t.co/nUZ2kUiomr . - LP Please verify the specific account details before sending.,AUTO_HANDLE,Routine support request with recognizable intent,3,4,GOOD,Meets basic support-reply criteria
2504592,@sprintcare Thank you. She found it lol nvm,GENERAL_FEEDBACK,@sprintcare Thank you!,"@126865 Hey there, please click this link https://t.co/U8vfUCAADd fro further information. -SR",0.5434,"@126865 Hey there, please click this link https://t.co/U8vfUCAADd fro further information. -SR",AUTO_HANDLE,Routine support request with recognizable intent,1,4,WEAK,Weak acknowledgement/help
2191012,"@sprintcare Back when I had the V20 Sprint version didn't have the stock music player, gallery, or email app (sure there was more but I returned it fast). I don't like Google apps and prefer the stock ones which I couldn't even download. Also you could see the digitizer lines on the screen.",WEBSITE_OR_APP,@sprintcare It says it's out of stock how is it or of stock if the website was down,"@425695 Please try again, if you're still presenting issues with website. - VC",0.3236,"@425695 Please try again, if you're still presenting issues with website. - VC Please verify the specific account details before sending.",AUTO_HANDLE,Routine support request with recognizable intent,2,4,ACCEPTABLE,Weak acknowledgement/help
137372,@sprintcare @146969 ‘What DOES make you feel this way’?!?! Is this a bot?! Lol,BILLING_CHARGES,@sprintcare Nopeeee! I have been though this already.. every last one of your costumers feel the same way!,@359248 We hate to hear you wanting to leave sprint. We can do some troubleshooting if you like to see if we can get the data working.,0.4262,@359248 We hate to hear you wanting to leave sprint. We can do some troubleshooting if you like to see if we can get the data working. Please verify the specific account details before sending.,AUTO_HANDLE,Routine support request with recognizable intent,2,4,ACCEPTABLE,Weak acknowledgement/help
2246205,@sprintcare Maybe tell that to the employees at your stores then.,OTHER,@sprintcare Maybe fix the one in Rotterdam please,Service in the #Greenville #NC area has been fully restored. We appreciate your patience and apologize for the inconvenience.,0.609,Service in the #Greenville #NC area has been fully restored. We appreciate your patience and apologize for the inconvenience.,ESCALATE,Intent could not be confidently classified,1,4,WEAK,Weak acknowledgement/help; Does not request clarification
1586907,@sprintcare You,OTHER,@sprintcare 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂fuckyøu😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,"@821705 Your business is important for us, and we don't want to see you going anywhere! Please DM us so we can talk!",1.0,"@821705 Your business is important for us, and we don't want to see you going anywhere! Please DM us so we can talk!",ESCALATE,Intent could not be confidently classified,1,4,WEAK,Weak acknowledgement/help; Does not request clarification
2436960,@sprintcare I DM that,DM_OR_FOLLOW_UP,@sprintcare DM’d you.,@821481 This is concerning to us. Please send us a Direct Message to further assist you. -AG,1.0,@821481 This is concerning to us. Please send us a Direct Message to further assist you. -AG,AUTO_HANDLE,Routine support request with recognizable intent,2,4,ACCEPTABLE,Meets basic support-reply criteria
248397,@sprintcare https://t.co/wa0ZpAWDCK,OTHER,@sprintcare  https://t.co/aHjin7KZUA,@205104 Could you tell me what makes you feel that you are being lied to? -SW,1.0,@205104 Could you tell me what makes you feel that you are being lied to? -SW,ESCALATE,Intent could not be confidently classified,1,4,WEAK,Weak acknowledgement/help; Does not request clarification
1512434,@sprintcare A sprint team member finally got to me in an online chat and promises my issues are resolved and they will be in contact...,OTHER,"@sprintcare After not hearing from you, finally, got to “online chat” and solved my issue. Thanks for your willingness",@167684 My apologies. Do you have a number where you can be reached for further assistance?,0.4135,@167684 My apologies. Do you have a number where you can be reached for further assistance? Please verify the specific account details before sending.,ESCALATE,Intent could not be confidently classified,3,4,GOOD,Meets basic support-reply criteria
822001,@sprintcare I never heard back from an agent yesterday!,CUSTOMER_SERVICE,@sprintcare Here* and have you ever heard of Candice ?,@289303 done on the damage of the device an rectify the issue if possible. We are her to help you truly. 3/3 -RM,0.7779,@289303 done on the damage of the device an rectify the issue if possible. We are her to help you truly. 3/3 -RM,AUTO_HANDLE,Routine support request with recognizable intent,2,4,ACCEPTABLE,No clear next step
2432206,"@sprintcare @116447 When it’s shortly? Today, tomorrow, when? I still without phone.",DEVICE_OR_UPGRADE,@sprintcare @116447 Define shortly.... https://t.co/OJdYkSJ9bh,@424200 @116447 Oh No! Definitely not want we like to hear! A member of Team @116447 will contact you shortly,0.6713,@424200 @116447 Oh No! Definitely not want we like to hear! A member of Team @116447 will contact you shortly,AUTO_HANDLE,Routine support request with recognizable intent,1,4,WEAK,Weak acknowledgement/help; No clear next step
2626164,@sprintcare The complaint has been filed @116447 fix it.,OTHER,"@sprintcare @477766 Switch to Verizon  you will get service and coverage Sprint =,💩 , BBB Complaint filed now on to the @119736 for harassment",@477766 Thank U for reaching out to us.I do know how important it is to have service.Plz send me a DM along with your cross street and ZIP code. -NW,0.3916,@477766 Thank U for reaching out to us.I do know how important it is to have service.Plz send me a DM along with your cross street and ZIP code. -NW Please verify the specific account details before sending.,ESCALATE,Customer frustration: complaint,3,4,GOOD,Meets basic support-reply criteria
321322,@sprintcare Any new updates on towers in Puerto Rico ? Specifically 00773 .. day 8 don’t have info on parents still.,NETWORK_COVERAGE,@sprintcare Puerto Rico.,@314241 Can you please send us a DM and give us the direct location of places your requesting to see updates of coverage? -TC,0.4902,@314241 Can you please send us a DM and give us the direct location of places your requesting to see updates of coverage? -TC Please verify the specific account details before sending.,AUTO_HANDLE,Routine support request with recognizable intent,2,4,ACCEPTABLE,Weak acknowledgement/help
727507,"@sprintcare Didn’t show up, and now rep #6 says I’m not eligible, someone better fix this and fast",OTHER,@sprintcare It doesn't say that!  It clearly says eligible upgrade NOT targeted upgrades... very misleading,@314956 We understand how frustrated you are but this offer is only available to Targeted-eligible customers. -MG,0.3195,@314956 We understand how frustrated you are but this offer is only available to Targeted-eligible customers. -MG Please verify the specific account details before sending.,ESCALATE,Intent could not be confidently classified,2,4,ACCEPTABLE,Weak acknowledgement/help
1321270,@sprintcare after 2 hours i was finally able to get the pre order through!!! this was a terrible experience and nearly made me want to switch over.,SHIPPING_OR_ORDER,@sprintcare so will i be able to pre order the iphone x once the site is up?,"@427230 Hey, thanks for reaching out but the site is under maintenance till 3.00am CST. -LK",0.4026,"@427230 Hey, thanks for reaching out but the site is under maintenance till 3.00am CST. -LK Please verify the specific account details before sending.",ESCALATE,Customer frustration: terrible,3,4,GOOD,Meets basic support-reply criteria
2203976,@sprintcare You cant you sent my bill to collections and pretty much ruined me. So unless you want to settle this as a huge misunderstanding and exonerate my debt towards you through DCI collections then there is nothing you can do.,BILLING_CHARGES,@sprintcare Call dci collections jacksonville florida po box 551268 phone number 8007715361 and tell them ac#29094550 is exonerated and settled....or just let me be cause im pretty screwed.,@641379 I am sorry how can I assist you -FR,0.4188,@641379 I am sorry how can I assist you -FR Please verify the specific account details before sending.,ESCALATE,Sensitive or urgent issue: collections,3,4,GOOD,Meets basic support-reply criteria
500234,@sprintcare Ok. Then explain to me what benefit I’m paying for exactly. I’ve paid 7.99 a month for something I’ve never benefited from.,OTHER,@sprintcare Ok so if I  sign up I would have to pay $7.99 per month even if I have unlimited service from sprint?,@730480 The Hulu Limited Commercials plan is now included with Unlimited Sprint plans. One Hulu Limited Commercials subscription per Sprint account (a $7.99/mo value) - LP,0.354,@730480 The Hulu Limited Commercials plan is now included with Unlimited Sprint plans. One Hulu Limited Commercials subscription per Sprint account (a $7.99/mo value) - LP Please verify the specific account details before sending.,ESCALATE,Intent could not be confidently classified,2,4,ACCEPTABLE,Weak acknowledgement/help
2239913,@sprintcare No i expect a call back. I'm not troubleshooting again. Ive done it all. Call me or say you dont want to help.,CALLING_ISSUE,@sprintcare When can I expect a reply from my DM?,@530751 We have to have a dm so we can send the secure link to further assist you please. Private message us please. -FR,0.373,@530751 We have to have a dm so we can send the secure link to further assist you please. Private message us please. -FR Please verify the specific account details before sending.,AUTO_HANDLE,Routine support request with recognizable intent,3,4,GOOD,Meets basic support-reply criteria
1609752,@sprintcare The outage was nationwide.  You don't need my cross street and zip.  You need to not shut down data at 4 am without announcement.,MOBILE_DATA_ISSUE,@sprintcare Again you don't need a DM or cross street.  The zip is 17363.  You only have 1 tower that services that area.  I can make calls but not receive calls.,"@453044 We are unable to see your dm. Please send us another DM, so we can work on having this resolved. -  CF",0.401,"@453044 We are unable to see your dm. Please send us another DM, so we can work on having this resolved. -  CF Please verify the specific account details before sending.",AUTO_HANDLE,Routine support request with recognizable intent,2,4,ACCEPTABLE,Weak acknowledgement/help
2003328,@sprintcare Thank you. However I just off the phone with a sprint specialist and my phone is now acticated. Thanks! :),GENERAL_FEEDBACK,@sprintcare Thank you..I just re-connected.,"@314240 To get back to the private message that you were on, we'd like you to go back and click on the link provided. - NJ",0.4927,"@314240 To get back to the private message that you were on, we'd like you to go back and click on the link provided. - NJ Please verify the specific account details before sending.",AUTO_HANDLE,Routine support request with recognizable intent,1,4,WEAK,Weak acknowledgement/help
2436956,@sprintcare They told me I could and saw a pending $470 credit on account they said call back and I could have them bill me it and credit will cover it,CALLING_ISSUE,@sprintcare Now we can get my credit on account,@175737 Great! :) -KA,0.4315,@175737 Great! :) -KA Please verify the specific account details before sending.,AUTO_HANDLE,Routine support request with recognizable intent,2,4,ACCEPTABLE,Weak acknowledgement/help
1095671,"@sprintcare Spotty service, that’s what.",OTHER,@sprintcare Im having issues with not getting any deals on my phone. And with spotty call service.,"@643064 Sorry to hear you are having issues. Just to check, are you having issues with calls, texts, data or all? Please shoot me a DM, so I can further assist you. - LP",0.4294,"@643064 Sorry to hear you are having issues. Just to check, are you having issues with calls, texts, data or all? Please shoot me a DM, so I can further assist you. - LP Please verify the specific account details before sending.",ESCALATE,Intent could not be confidently classified,3,4,GOOD,Meets basic support-reply criteria
2838002,@sprintcare every month there’s a new charge every month there’s diff information from diff specialist. Paid my bill to have a clean slate and just got hit with 376 bill for this month ... charges after charges,BILLING_CHARGES,@sprintcare Per month?,"@212629 That is likely a discounted device and if activated on a Discounted plan such as Unlimited Freedom, a $25 Subsidy charge would apply. - DW",0.3761,"@212629 That is likely a discounted device and if activated on a Discounted plan such as Unlimited Freedom, a $25 Subsidy charge would apply. - DW Please verify the specific account details before sending.",AUTO_HANDLE,Routine support request with recognizable intent,2,4,ACCEPTABLE,Weak acknowledgement/help
628812,@sprintcare Indoors and outdoors. Issue has been going on since yesterday.,OTHER,@sprintcare Indoors and outdoors. Issue has been going on since yesterday,@265434 When did you begin to experience these issues? Has this happened before? Are you indoors or outdoors when you see this happen? - JF,1.0,@265434 When did you begin to experience these issues? Has this happened before? Are you indoors or outdoors when you see this happen? - JF,ESCALATE,Intent could not be confidently classified,1,4,WEAK,Weak acknowledgement/help; Does not request clarification
2358470,@sprintcare Anthony Reyes,OTHER,@sprintcare Anthony has contacted my worker already and he is listening to our issues. I will speak to him tomorrow. Thanks for reaching out,"@681193 If Anthony is at a kiosk, I would like to suggest that the location is visited to speak with him directly. -Felicia R",0.5565,"@681193 If Anthony is at a kiosk, I would like to suggest that the location is visited to speak with him directly. -Felicia R",ESCALATE,Intent could not be confidently classified,1,4,WEAK,Weak acknowledgement/help; Does not request clarification
2366529,@sprintcare I have @115911 :p,OTHER,@sprintcare @115911 is already attempting to help me more than you guys have over the last two days.,"@194722 Hi there! Please send us a DM with details about your concern and follow us at @Sprintcare, so that we can further assist you. -BJ",0.4993,"@194722 Hi there! Please send us a DM with details about your concern and follow us at @Sprintcare, so that we can further assist you. -BJ Please verify the specific account details before sending.",ESCALATE,Intent could not be confidently classified,3,4,GOOD,Meets basic support-reply criteria
2440246,@sprintcare Nothing ever goes smooth with sprint. Ordering new phones 1st night was a nightmare. Still having issues. Website now is inaccessible,WEBSITE_OR_APP,@sprintcare Having issues with my account,Hey. I see you're having service issues. How long has this been happening? Anyone else affected? Is it in multiple locations? - DW,0.3122,Hey. I see you're having service issues. How long has this been happening? Anyone else affected? Is it in multiple locations? - DW Please verify the specific account details before sending.,AUTO_HANDLE,Routine support request with recognizable intent,2,4,ACCEPTABLE,Weak acknowledgement/help
1444856,@sprintcare Yes. Mainly data and sending texts,MOBILE_DATA_ISSUE,@sprintcare You tell me you’re the jokers sending texts at 7:15 on Sunday morning ffs,@182406 Thanks for reaching out to us. What's going on? -SA,0.3877,@182406 Thanks for reaching out to us. What's going on? -SA Please verify the specific account details before sending.,AUTO_HANDLE,Routine support request with recognizable intent,3,4,GOOD,Meets basic support-reply criteria
62694,@sprintcare i haven't had a response in over 20 minutes and I was asked a simple question. I'm about to quit the chat and switch over to a new carrier,DEVICE_OR_UPGRADE,@sprintcare @348308 You can't answer a simple question?,"@348308 Thank you for contacting us. Please send us a Direct Message, so that we can further assist you. - MF",0.4431,"@348308 Thank you for contacting us. Please send us a Direct Message, so that we can further assist you. - MF Please verify the specific account details before sending.",AUTO_HANDLE,Routine support request with recognizable intent,3,4,GOOD,Meets basic support-reply criteria
1031111,@sprintcare It's an old message. Matter has been handled,OTHER,@sprintcare She is old. Never uses it. Does not need it. I have explained this 3x to CS...,@340376 What is the reason she wants to cancel?,0.3804,@340376 What is the reason she wants to cancel? Please verify the specific account details before sending.,ESCALATE,Intent could not be confidently classified,2,4,ACCEPTABLE,Weak acknowledgement/help
1111859,"@sprintcare All updates are done, well the ones you push and Samsung and Sprint are always months behind on Android security patches even with Krack",DEVICE_OR_UPGRADE,@sprintcare Any updates?,@474485 I would love to assist you. Send a DM so we can get started. -SW,0.4109,@474485 I would love to assist you. Send a DM so we can get started. -SW Please verify the specific account details before sending.,ESCALATE,Sensitive or urgent issue: security,3,4,GOOD,Meets basic support-reply criteria
297583,"@sprintcare @186888 Towers updated, customers with connection issues have to call sprint, get another number to call to update devices.",NETWORK_COVERAGE,@sprintcare Always experiencing connection issues in central Fresno. Always 3G,"@541267 Hi! Are you still experiencing services issues? We are aware that the outage has just been resolved, please restart your device. -DS",0.2448,Thanks for reaching out. We'd like to understand the issue better and help with the next steps. Please send us a DM with the relevant details so our support team can assist.,AUTO_HANDLE,Routine support request with recognizable intent,3,4,GOOD,Meets basic support-reply criteria
2831917,@sprintcare And a chance to change the situation. I’ve only been bitchin about it for a week. How long does sprint need to check that tower closet to me,NETWORK_COVERAGE,@sprintcare Any chance of backorders?,"@429659 We're happy to hear that your upgrades were successful. We will fill every order, we won't leave you out! ;) -NL",0.3754,"@429659 We're happy to hear that your upgrades were successful. We will fill every order, we won't leave you out! ;) -NL Please verify the specific account details before sending.",AUTO_HANDLE,Routine support request with recognizable intent,2,4,ACCEPTABLE,Weak acknowledgement/help
2913379,@sprintcare Since December 2016 and yes only where I live.,OTHER,@sprintcare After blowing a vein in my in my neck. Yes,@313976 That's not good! Was your issue resolved? -DS,0.3274,@313976 That's not good! Was your issue resolved? -DS Please verify the specific account details before sending.,ESCALATE,Intent could not be confidently classified,2,4,ACCEPTABLE,Weak acknowledgement/help
1873492,@sprintcare It just redirects back to Safari from the app,WEBSITE_OR_APP,@sprintcare I just dit.,@733171 Hey! This is not the way we want you to feel. Please DM us in order to further assist. - EG https://t.co/rMApsV8PQY,0.392,@733171 Hey! This is not the way we want you to feel. Please DM us in order to further assist. - EG https://t.co/rMApsV8PQY Please verify the specific account details before sending.,AUTO_HANDLE,Routine support request with recognizable intent,3,4,GOOD,Meets basic support-reply criteria
923492,@sprintcare EAD,OTHER,@sprintcare More than once or not.,"@428353 We understand, we're all excited about the amazing iPhone X. Please allow us a moment. Our website is still under maintenance. - RC",1.0,"@428353 We understand, we're all excited about the amazing iPhone X. Please allow us a moment. Our website is still under maintenance. - RC",ESCALATE,Intent could not be confidently classified,1,4,WEAK,Weak acknowledgement/help; Does not request clarification
1076752,@sprintcare Who makes the decision what color each carrier gets,OTHER,@sprintcare I have already done it. It makes no difference.,@134926 I understand that but I would like you to perform a PRL update on your device so I need the make and model. -GB,0.4729,@134926 I understand that but I would like you to perform a PRL update on your device so I need the make and model. -GB Please verify the specific account details before sending.,ESCALATE,Intent could not be confidently classified,2,4,ACCEPTABLE,Weak acknowledgement/help
2499596,@sprintcare Lo fui por 15 años y nos dieron un mal trato con supuestamente un teléfono de regalado.,OTHER,@sprintcare De nada. Satisfecha con servicio. El huracán María nos puso mal.,@308075 Muchas gracias por la rectificacion. -JM,0.2437,Thanks for reaching out. We'd like to understand the issue better and help with the next steps. Please send us a DM with the relevant details so our support team can assist.,ESCALATE,Intent could not be confidently classified,3,4,GOOD,Meets basic support-reply criteria
1316016,@sprintcare @427430 Fuck you sprint you careless bitches.  I hope someone shoves an iPhone x done your snatch hole.,DEVICE_OR_UPGRADE,@sprintcare @128202 Fuck you Sprint.,@128202 Why do you feel like that about us? What's going on? -JE,0.5122,@128202 Why do you feel like that about us? What's going on? -JE,AUTO_HANDLE,Routine support request with recognizable intent,1,4,WEAK,Weak acknowledgement/help; No clear next step
141645,@sprintcare Not resolved. Already called few times and wasted a lot of time. The problem is Sprint.,CALLING_ISSUE,@sprintcare Nothing was resolved.,"@430962 Hey there! As we could read from a previous interaction, you were already provided with the information about your bill. -DM",0.3741,"@430962 Hey there! As we could read from a previous interaction, you were already provided with the information about your bill. -DM Please verify the specific account details before sending.",AUTO_HANDLE,Routine support request with recognizable intent,2,4,ACCEPTABLE,Weak acknowledgement/help
894804,@sprintcare Went through crap customer service in the physical stores. Nothing you can really do on here to help. There should be loyalty “rewards” for customers. It retains people!,CUSTOMER_SERVICE,@sprintcare Went to the restroom,"@583337 Hello there! We tried contacting you. However, We were unable to get onto you. Please send us a DM, so that we can further assist you. - KP",0.3544,"@583337 Hello there! We tried contacting you. However, We were unable to get onto you. Please send us a DM, so that we can further assist you. - KP Please verify the specific account details before sending.",AUTO_HANDLE,Routine support request with recognizable intent,3,4,GOOD,Meets basic support-reply criteria
2097790,@sprintcare I️ can be reached at 6788753205. I’ve reached out to you all with no resolve. I’ve listed my contact you can reach me  @115714 @sprintcare,OTHER,@sprintcare I've reached out to your customer service numerous times and they've failed to do anything.  Not wasting any more time.,@402433 We are concerned about your message and we'll be happy to help you. What seems to be the issue you're having? - CE,0.354,@402433 We are concerned about your message and we'll be happy to help you. What seems to be the issue you're having? - CE Please verify the specific account details before sending.,ESCALATE,Intent could not be confidently classified,3,4,GOOD,Meets basic support-reply criteria
1314283,"@sprintcare I have two other browsers open, both are still in line. The aforementioned issue actually got me pushed back in the cue.",OTHER,@sprintcare I already ordered them again but I’m pretty sure the estimated delivery date got pushed way out compared to the one o ordered last night.,@573656 Uh oh! Your  iPhone order was accidentally cancelled. Worry not! We’ll fix it &amp; call today to get it pre-ordered. Sorry for the confusion!,0.2214,Thanks for reaching out. We'd like to understand the issue better and help with the next steps. Please send us a DM with the relevant details so our support team can assist.,ESCALATE,Intent could not be confidently classified,3,4,GOOD,Meets basic support-reply criteria
619826,@sprintcare With no LTE serv,MOBILE_DATA_ISSUE,@sprintcare Because there's never any LTE!,@118439 Hi there! What makes you feel this way? -RL,0.754,@118439 Hi there! What makes you feel this way? -RL,AUTO_HANDLE,Routine support request with recognizable intent,1,4,WEAK,Weak acknowledgement/help; No clear next step
1459322,@sprintcare I’ve already spent all afternoon talking to you about it. You told me you couldn’t do anything cos of the tall buildings,OTHER,@sprintcare I’ve already spent days messaging you. This is now just a psa.,@490876 Shoot us a DM let us get this resolved. We hate to have our customers feel this way. - NJ,0.3603,@490876 Shoot us a DM let us get this resolved. We hate to have our customers feel this way. - NJ Please verify the specific account details before sending.,ESCALATE,Intent could not be confidently classified,2,4,ACCEPTABLE,Weak acknowledgement/help
1010461,@sprintcare You guys messed up on your end and won’t fix it,OTHER,@sprintcare How about you guys call me,"@189560 Please send us a Direct Message, so that we can further assist you. -AL",0.4553,"@189560 Please send us a Direct Message, so that we can further assist you. -AL Please verify the specific account details before sending.",ESCALATE,Intent could not be confidently classified,3,4,GOOD,Meets basic support-reply criteria
