tweet_id,customer_message,similar_customer_message,historical_reply,retrieval_similarity
1586907,@sprintcare You,@sprintcare 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂fuckyøu😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,"@821705 Your business is important for us, and we don't want to see you going anywhere! Please DM us so we can talk!",1.0
2436960,@sprintcare I DM that,@sprintcare DM’d you.,@821481 This is concerning to us. Please send us a Direct Message to further assist you. -AG,1.0
248397,@sprintcare https://t.co/wa0ZpAWDCK,@sprintcare  https://t.co/aHjin7KZUA,@205104 Could you tell me what makes you feel that you are being lied to? -SW,1.0
1512434,@sprintcare A sprint team member finally got to me in an online chat and promises my issues are resolved and they will be in contact...,"@sprintcare After not hearing from you, finally, got to “online chat” and solved my issue. Thanks for your willingness",@167684 My apologies. Do you have a number where you can be reached for further assistance?,0.4135
822001,@sprintcare I never heard back from an agent yesterday!,@sprintcare Here* and have you ever heard of Candice ?,@289303 done on the damage of the device an rectify the issue if possible. We are her to help you truly. 3/3 -RM,0.7779
2432206,"@sprintcare @116447 When it’s shortly? Today, tomorrow, when? I still without phone.",@sprintcare @116447 Define shortly.... https://t.co/OJdYkSJ9bh,@424200 @116447 Oh No! Definitely not want we like to hear! A member of Team @116447 will contact you shortly,0.6713
2626164,@sprintcare The complaint has been filed @116447 fix it.,"@sprintcare @477766 Switch to Verizon  you will get service and coverage Sprint =,💩 , BBB Complaint filed now on to the @119736 for harassment",@477766 Thank U for reaching out to us.I do know how important it is to have service.Plz send me a DM along with your cross street and ZIP code. -NW,0.3916
321322,@sprintcare Any new updates on towers in Puerto Rico ? Specifically 00773 .. day 8 don’t have info on parents still.,@sprintcare Puerto Rico.,@314241 Can you please send us a DM and give us the direct location of places your requesting to see updates of coverage? -TC,0.4902
727507,"@sprintcare Didn’t show up, and now rep #6 says I’m not eligible, someone better fix this and fast",@sprintcare It doesn't say that!  It clearly says eligible upgrade NOT targeted upgrades... very misleading,@314956 We understand how frustrated you are but this offer is only available to Targeted-eligible customers. -MG,0.3195
1321270,@sprintcare after 2 hours i was finally able to get the pre order through!!! this was a terrible experience and nearly made me want to switch over.,@sprintcare so will i be able to pre order the iphone x once the site is up?,"@427230 Hey, thanks for reaching out but the site is under maintenance till 3.00am CST. -LK",0.4026
2203976,@sprintcare You cant you sent my bill to collections and pretty much ruined me. So unless you want to settle this as a huge misunderstanding and exonerate my debt towards you through DCI collections then there is nothing you can do.,@sprintcare Call dci collections jacksonville florida po box 551268 phone number 8007715361 and tell them ac#29094550 is exonerated and settled....or just let me be cause im pretty screwed.,@641379 I am sorry how can I assist you -FR,0.4188
500234,@sprintcare Ok. Then explain to me what benefit I’m paying for exactly. I’ve paid 7.99 a month for something I’ve never benefited from.,@sprintcare Ok so if I  sign up I would have to pay $7.99 per month even if I have unlimited service from sprint?,@730480 The Hulu Limited Commercials plan is now included with Unlimited Sprint plans. One Hulu Limited Commercials subscription per Sprint account (a $7.99/mo value) - LP,0.354
2239913,@sprintcare No i expect a call back. I'm not troubleshooting again. Ive done it all. Call me or say you dont want to help.,@sprintcare When can I expect a reply from my DM?,@530751 We have to have a dm so we can send the secure link to further assist you please. Private message us please. -FR,0.373
1609752,@sprintcare The outage was nationwide.  You don't need my cross street and zip.  You need to not shut down data at 4 am without announcement.,@sprintcare Again you don't need a DM or cross street.  The zip is 17363.  You only have 1 tower that services that area.  I can make calls but not receive calls.,"@453044 We are unable to see your dm. Please send us another DM, so we can work on having this resolved. -  CF",0.401
2003328,@sprintcare Thank you. However I just off the phone with a sprint specialist and my phone is now acticated. Thanks! :),@sprintcare Thank you..I just re-connected.,"@314240 To get back to the private message that you were on, we'd like you to go back and click on the link provided. - NJ",0.4927
2436956,@sprintcare They told me I could and saw a pending $470 credit on account they said call back and I could have them bill me it and credit will cover it,@sprintcare Now we can get my credit on account,@175737 Great! :) -KA,0.4315
1095671,"@sprintcare Spotty service, that’s what.",@sprintcare Im having issues with not getting any deals on my phone. And with spotty call service.,"@643064 Sorry to hear you are having issues. Just to check, are you having issues with calls, texts, data or all? Please shoot me a DM, so I can further assist you. - LP",0.4294
2838002,@sprintcare every month there’s a new charge every month there’s diff information from diff specialist. Paid my bill to have a clean slate and just got hit with 376 bill for this month ... charges after charges,@sprintcare Per month?,"@212629 That is likely a discounted device and if activated on a Discounted plan such as Unlimited Freedom, a $25 Subsidy charge would apply. - DW",0.3761
628812,@sprintcare Indoors and outdoors. Issue has been going on since yesterday.,@sprintcare Indoors and outdoors. Issue has been going on since yesterday,@265434 When did you begin to experience these issues? Has this happened before? Are you indoors or outdoors when you see this happen? - JF,1.0
2358470,@sprintcare Anthony Reyes,@sprintcare Anthony has contacted my worker already and he is listening to our issues. I will speak to him tomorrow. Thanks for reaching out,"@681193 If Anthony is at a kiosk, I would like to suggest that the location is visited to speak with him directly. -Felicia R",0.5565
2366529,@sprintcare I have @115911 :p,@sprintcare @115911 is already attempting to help me more than you guys have over the last two days.,"@194722 Hi there! Please send us a DM with details about your concern and follow us at @Sprintcare, so that we can further assist you. -BJ",0.4993
2440246,@sprintcare Nothing ever goes smooth with sprint. Ordering new phones 1st night was a nightmare. Still having issues. Website now is inaccessible,@sprintcare Having issues with my account,Hey. I see you're having service issues. How long has this been happening? Anyone else affected? Is it in multiple locations? - DW,0.3122
1444856,@sprintcare Yes. Mainly data and sending texts,@sprintcare You tell me you’re the jokers sending texts at 7:15 on Sunday morning ffs,@182406 Thanks for reaching out to us. What's going on? -SA,0.3877
62694,@sprintcare i haven't had a response in over 20 minutes and I was asked a simple question. I'm about to quit the chat and switch over to a new carrier,@sprintcare @348308 You can't answer a simple question?,"@348308 Thank you for contacting us. Please send us a Direct Message, so that we can further assist you. - MF",0.4431
1031111,@sprintcare It's an old message. Matter has been handled,@sprintcare She is old. Never uses it. Does not need it. I have explained this 3x to CS...,@340376 What is the reason she wants to cancel?,0.3804
1111859,"@sprintcare All updates are done, well the ones you push and Samsung and Sprint are always months behind on Android security patches even with Krack",@sprintcare Any updates?,@474485 I would love to assist you. Send a DM so we can get started. -SW,0.4109
297583,"@sprintcare @186888 Towers updated, customers with connection issues have to call sprint, get another number to call to update devices.",@sprintcare Always experiencing connection issues in central Fresno. Always 3G,"@541267 Hi! Are you still experiencing services issues? We are aware that the outage has just been resolved, please restart your device. -DS",0.2448
2831917,@sprintcare And a chance to change the situation. I’ve only been bitchin about it for a week. How long does sprint need to check that tower closet to me,@sprintcare Any chance of backorders?,"@429659 We're happy to hear that your upgrades were successful. We will fill every order, we won't leave you out! ;) -NL",0.3754
2913379,@sprintcare Since December 2016 and yes only where I live.,@sprintcare After blowing a vein in my in my neck. Yes,@313976 That's not good! Was your issue resolved? -DS,0.3274
1873492,@sprintcare It just redirects back to Safari from the app,@sprintcare I just dit.,@733171 Hey! This is not the way we want you to feel. Please DM us in order to further assist. - EG https://t.co/rMApsV8PQY,0.392
923492,@sprintcare EAD,@sprintcare More than once or not.,"@428353 We understand, we're all excited about the amazing iPhone X. Please allow us a moment. Our website is still under maintenance. - RC",1.0
1076752,@sprintcare Who makes the decision what color each carrier gets,@sprintcare I have already done it. It makes no difference.,@134926 I understand that but I would like you to perform a PRL update on your device so I need the make and model. -GB,0.4729
2499596,@sprintcare Lo fui por 15 años y nos dieron un mal trato con supuestamente un teléfono de regalado.,@sprintcare De nada. Satisfecha con servicio. El huracán María nos puso mal.,@308075 Muchas gracias por la rectificacion. -JM,0.2437
1316016,@sprintcare @427430 Fuck you sprint you careless bitches.  I hope someone shoves an iPhone x done your snatch hole.,@sprintcare @128202 Fuck you Sprint.,@128202 Why do you feel like that about us? What's going on? -JE,0.5122
141645,@sprintcare Not resolved. Already called few times and wasted a lot of time. The problem is Sprint.,@sprintcare Nothing was resolved.,"@430962 Hey there! As we could read from a previous interaction, you were already provided with the information about your bill. -DM",0.3741
894804,@sprintcare Went through crap customer service in the physical stores. Nothing you can really do on here to help. There should be loyalty “rewards” for customers. It retains people!,@sprintcare Went to the restroom,"@583337 Hello there! We tried contacting you. However, We were unable to get onto you. Please send us a DM, so that we can further assist you. - KP",0.3544
2097790,@sprintcare I️ can be reached at 6788753205. I’ve reached out to you all with no resolve. I’ve listed my contact you can reach me  @115714 @sprintcare,@sprintcare I've reached out to your customer service numerous times and they've failed to do anything.  Not wasting any more time.,@402433 We are concerned about your message and we'll be happy to help you. What seems to be the issue you're having? - CE,0.354
1314283,"@sprintcare I have two other browsers open, both are still in line. The aforementioned issue actually got me pushed back in the cue.",@sprintcare I already ordered them again but I’m pretty sure the estimated delivery date got pushed way out compared to the one o ordered last night.,@573656 Uh oh! Your  iPhone order was accidentally cancelled. Worry not! We’ll fix it &amp; call today to get it pre-ordered. Sorry for the confusion!,0.2214
619826,@sprintcare With no LTE serv,@sprintcare Because there's never any LTE!,@118439 Hi there! What makes you feel this way? -RL,0.754
1459322,@sprintcare I’ve already spent all afternoon talking to you about it. You told me you couldn’t do anything cos of the tall buildings,@sprintcare I’ve already spent days messaging you. This is now just a psa.,@490876 Shoot us a DM let us get this resolved. We hate to have our customers feel this way. - NJ,0.3603
1010461,@sprintcare You guys messed up on your end and won’t fix it,@sprintcare How about you guys call me,"@189560 Please send us a Direct Message, so that we can further assist you. -AL",0.4553
695025,@sprintcare We should not have to call to receive a credit you know our situation! Issue a credit to all VI customers! Ppl cannot reach loved ones!,@sprintcare No problem I give credit where credit is due!,@680980 Hey! We really appreciate the feedback! Thanks so much! :) -Daulton,0.3257
1929325,@sprintcare August,@sprintcare Since August 2017. The edge lighting seems to only work when the phone is on. All the settings are correctly set.,@197497 Hi there! How long have you been experiencing this issue? -L.O,0.5256
1292,@sprintcare I've sent several private messages!!! and no one responds!,@sprintcare I have sent several private messages and no one is responding as usual,@115712 Please send us a Private Message so that we can further assist you. Just click ‘Message’ at the top of your profile.,0.6059
1604771,@sprintcare This is a big inconveniences. I don't have home internet. I an standing in 30°weather next to a shut coffee shop to get online,"@sprintcare Storms here, cant open weather radar for over an hour","@347900 Hey what's up! Can you please send me a DM with your nearby street? As you know, a ZIP code is a broad area. -BJ",0.2821
157223,@sprintcare I did there are no discounts or additional deals in less you add a line. A bunch of crap.,@sprintcare Thank you for not answering my question. I have a plan already I just want to add a line how long does it take to add a line,@672851 Thanks for writing to us. We'll be more than glad to assist you with this inf. You have the option of the Bring your own device program to add a new line with a device that doesn't belong to Sprint. For further details click here:https://t.co/fG1QYmkC1c . - FS,0.355
1226216,@sprintcare (2) Levittown New York store named Reimo promised that he unlocked the phone so we purchased it. Days later I called @115714 who told me it,"@sprintcare Yes also, it says from a store in New York and we live in Kansas ... so...",@349682 Is it that lines and accessories were added to your father's account without authorization? - DW,0.3041
189132,@sprintcare I DM Message you! please check @sprintcare,@sprintcare DM where?,@527221 Hello there Grisella! We would be more then happy to help you with your online account. Please DM us so we can assist you today. -Daulton,0.6794
1693009,"@sprintcare K-State campus and the whole city. And the city of Wichita. All around, even the downtown area.",@sprintcare The state of Missouri.,@149829 We will be glad to review. Please DM the address where you are having problems.,0.5172
916041,@sprintcare Site won’t fully load with some links on page.,@sprintcare i'm just trying to upgrade my phone but most of the buttons/links on your site are dead,@310776 Hi There! How can we assist you today? -EG,0.2551
899043,@sprintcare no more private forums! I need you to fix my bill,@sprintcare No - nothing private to discuss.  You either fix it for everyone or I'll bring you down.,@734039 Please send us a private message for further assistance. -FG,0.4303
944627,@sprintcare @116447 Right now,@sprintcare @116447 8018654729,"@134199 Team @116447 was unable to reach you at telephone number ending 5629. However, I look forward to speaking with you to discuss this matter in detail. I will try again shortly.",0.7267
57763,"@sprintcare 60020 but it has happened in 60640, 60637, and 32250. I've been on with chat support for over an hour.",@sprintcare Sure would be nice if you and the chat support would be on the same page.  They say there us a tower issue.,@130361 Please provide us with the make and model of your device so we can further assist. Resolution Sup SR (3/3),0.3807
764473,@sprintcare I’ve tried! I won’t let me change a contact number that’s no longer associated to my account,@sprintcare Y’all finessed me and y’all won’t let me upgrade,@473025 Can you inform us on what have you feeling this way? We would love to help.-DD,0.3121
1404486,"@sprintcare @446533 Funny, because I never had to show my level, and I got multiples of the same badge. They never had level 30 badges so they gave me 10s &amp; 20s",@sprintcare @116447 Also the improvements have to be at the TMobile Level. Rapid expansion is needed. It shouldn't take 1+yrs to get a permit for site upgrades.,@142071 Team @116447 appreciates your feedback. We are constantly working to improve our network &amp; appreciate your loyalty while we do.,0.3098
1948461,@sprintcare It’s a long story. I’ve repeated it several times. It’s quite frustrating!,@sprintcare It is a long story. I am still not satisfied and very upset.,"@197709 Hi there, how can we assist? -CA",0.4694
1362085,"@sprintcare After 1 hour &amp; 27 minutes, yes.Do you think it’s necessary to have loyal customers wait that long on a call? Wow good thing I pay for unlmtd",@sprintcare About an hour.,@491647 Hey! Could you tell us how long this has been happening? -AL,0.3201
1113470,@sprintcare No coverage in many areas. Less than LTE in many areas. LTE is unreliable. Unable to use data when talking. Why do I have a smart phone?More,@sprintcare And your coverage is stil sporadically impaired geographically,@815753 Allow us to help. DM us your mobile number and a brief explanation of the issue you're experiencing. We are here for you. AD,0.3337
2633577,"@sprintcare @116447 Lorenzo from Denver Escalation got my issues resolved. However before I spoke to him agent Sirval from the same team frustrated me to the point of making me cry. Just review the call and train him better, I literally have anxiety over this.",@sprintcare Issues never being resolved,@524286 Hey there! What makes you feel this way? - IR,0.3322
164350,@sprintcare I have 7 lines in my account.. nothing for us??? I do not need to add another line,@sprintcare I have 2 lines on my account ones paid off the other is a note 8 i talked to someone about switching numbers to the accounts,Unboxing the LG GPad with Wingland a founding member of #sprintcommunity and Product Ambassador! https://t.co/VeiCZO7lyH,0.4332
710232,@sprintcare Done. :D,@sprintcare More than once or not.,"@428353 We understand, we're all excited about the amazing iPhone X. Please allow us a moment. Our website is still under maintenance. - RC",1.0
2436100,@sprintcare my hometown an island for muh phone!! I roaming like a fool,@sprintcare No I have another concern. Roaming... if you’re in the US there is no charge for roaming right ?,"@245274 Is it only with data that you're having issues? Please send us a Direct Message, so that we can further assist you. -PC",0.3202
1705952,"@sprintcare the service sucks in Ohio, fix your towers or something",@sprintcare Your service sucks.,@675158 Hey! What's going on? We would like to assist you with your concerns. -AF,0.6659
2137156,@sprintcare The screen broke and when i went to the first Sprint store that directed me to a Sprint repair store and the guy there just gave me a card with an 800 number on it. I can't even file an insurance claim with you guys because you don't handle your own business.,"@sprintcare You tell me, this company is horrible and I’m sick of how you handle business",@322077 Hello there! Is there anything we can assist you with today? Please let us know. - KP,0.2361
1287929,@sprintcare @421237 But you don't answer the direct message? I'm waiting still,@sprintcare @426654 I have been waiting for a direct message,@426654 We await your private message. -ResolutionSup SR,0.613
2019923,"@sprintcare @597326 Been searching online and comparing both the V30 and V30+, they seem to have the same specs except storage wise.",@sprintcare @597326 Lol they don't know what's their talking about. The v30+ is 128gb the v30 is 64gb. Only difference,"@597326 The LG V30+ has a faster Octa-Core Processor, a bigger screen and more internal memory than the LG V30. Overall these devices are great - JM",0.5213
406921,"@sprintcare Thats the point,  take care of new business,  ignore your long time customers","@sprintcare Thats who i spoke to,I cancelled my order",@644452 message and I will call you to get you to our sales team to see what they can do for you.,0.293
933931,@sprintcare It is. It’s a replacement. Mine died 22 days outside warrant window. So I’m gonna take a loss to upgrade to the X and lose this new phone to,@sprintcare Tried in DM.  Can't do entire day del window.  That's not a window.  Need options.,@512161 Hey there! Can you please elaborate a little on the issue you're experiencing with UPS? -NL,0.217
1320653,"@sprintcare @428358 if we have a charge of $10.74 did it go through? chat isnt responding, im trying to go to sleep","@sprintcare there is an error on you side

it says im past due when im not

the bill isnt due unitl sunday","@173005 I understand your decision. We  would not be able to remove monthly charges for devices that have not been paid in full, however if there is an error on sprints end , we will be glad to fix it.",0.2411
2332633,"@sprintcare Yeah but the upgrade doesn't give me the $350 off. I have an iPhone 6 from iPhone forever, but returning it is only $52 off unless I buy the phone out","@sprintcare I have iPhone forever plan with sprint, can I use this plan with the iPhone x or only iPhone 8.",@685514 Hello there! Could you please elaborate more on your question so we'd be able to properly answer and assist you? -MH,0.4149
1328000,@sprintcare No. It won’t be a quick process. What the hell @115714 @sprintcare ?! https://t.co/yRn4BvVUsT,@sprintcare  https://t.co/I9MPuwe0Mx,@275028 Please provide the make and model of your device. Thank you. -CA,0.3959
1177519,"@sprintcare My wife after spending 6+ hours on the phone with your CS about returning phones cause we upgraded with you guys, cause you forgot to supply",@sprintcare @497536 What was the cause of the issue?,"@497536 We were experiencing a network outage. The issue has now been resolved. If u are still experiencing issues, please restart your device. -DS",0.3438
1316937,@sprintcare I have two reserved through Apple but they werent able to contact your system. Will that process go through as well at that time?,"@sprintcare Thank you, was able to get in contact with someone.","@238992 Please send us a Direct Message, so that we can further assist you and address your issues. -AP",0.5999
37006,@sprintcare It's over and done with #sprint #fail. Does your online chat work? If so then Jessica needs to be reprimanded. Maybe if I can't get a better deal from T-Mobile I will try again. I guess I should use Twitter if I have a question.,@sprintcare It was a better deal over phone than online,@527627 Is there any reason you don't want to buy online through https://t.co/0qT1rLBLtN?,0.26
994337,"@sprintcare It’s always been an issue in my area, but I’ve had sprint for almost 10 years so I don’t want to leave since the service is the best..I just experience drop calls and texts taking too long to go through..",@sprintcare Well for one your treat your current customers like like we don't matter anymore. I've been with sprint for almost 10 years now!,@801709 What makes you want to leave the Sprint family? What seems to be the issue? -ND,0.2354
2735432,@sprintcare I’m leaving.,@sprintcare Bring my fucking bill down or I'm leaving,@301605 we sorry that you feel that away and want to help make things better. How can we help you today?,0.4781
461760,@sprintcare Done that 500 Times.  All you do is lie.,@sprintcare Done this 500 Times. You are Horrible and lie,@68093 Well that is not what we want to hear. We would be happy to reach out and discuss any issues that you have. Is there a good time to contact you?,0.8476
859438,@sprintcare Give me a direct phone number that I can call a competent person and I will tell you all about it.,@sprintcare Give me a link or direct phone number of someone to talk to and I might be willing to listen...,"@684509 If you do change your mind about the assistance I'm offering, please feel free to message us at any time. -SJ",0.4007
1851453,"@sprintcare Yes, I'm available for a call. What number should I be calling?",@sprintcare Yes,@476413 Have you been trying to activate the phone?,0.5471
